f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,y
0.1445,-0.1914,-0.0863,0.1684,0.5078,-0.5519,2.0205,-1.17,-0.8065,-1.6434,0
1.3832,0.0816,-1.56,-1.8227,-2.2279,0.1309,-0.3787,0.9069,-0.9979,0.6543,0
-0.389,-1.686,-0.345,-1.6537,-0.4043,-0.5145,-0.9956,-0.6282,0.2063,-0.7622,0
-1.0803,0.5621,-0.4848,0.1435,0.243,0.6317,0.112,-0.1524,-0.3086,1.0569,0
-1.9463,-1.4387,0.4046,0.8554,0.7754,-0.176,-0.1483,-0.685,1.2146,0.2935,0
-2.1337,-0.3203,2.8747,-1.3889,0.4755,-0.5108,0.7362,-0.0156,0.3519,0.3505,0
-0.6557,-1.12,0.1697,-2.1689,1.3267,0.4854,1.2064,0.6688,1.2448,0.1651,0
-0.4341,-0.8099,0.3831,2.173,-2.4704,2.5374,-1.8905,1.0517,1.0178,0.1111,0
-1.1563,0.2805,-1.6281,0.3958,0.526,-0.6505,-0.9037,-1.9423,0.212,0.6013,0
1.0273,-2.4913,-0.0799,-1.1607,1.1785,2.0599,0.1042,1.0142,0.2241,1.3346,0
0.8804,-1.3509,0.5266,-0.148,1.346,0.8175,1.4755,-0.7996,-0.9873,-0.7937,0
1.4202,1.8576,2.5428,0.2754,-0.9028,1.4568,-1.5691,0.7874,0.3695,-0.346,1
0.7378,0.5517,-0.5188,-0.554,-1.1986,0.1937,0.4643,0.9384,1.1203,-0.8019,0
0.9557,0.9407,-1.476,0.5244,1.7994,-1.0768,0.291,-1.1041,-0.7683,-0.3175,0
0.5196,0.5778,-0.3995,0.5332,-1.0076,1.992,-1.1253,0.8747,-0.6894,1.0393,1
-0.8873,1.5254,0.9848,-0.7958,1.5895,0.6245,1.7711,0.8112,1.3911,0.009,0
0.0359,-1.6596,0.1417,0.4876,0.4264,-0.2696,-0.1246,-0.6268,0.2309,-0.8615,0
-1.8879,-1.6621,1.2348,0.3418,1.4338,-0.3975,-1.0755,1.239,0.7675,0.7722,0
1.356,1.1302,-0.9598,-0.5461,2.2626,-0.9902,0.2707,0.1334,-0.0404,2.0452,0
0.8232,-0.5634,0.7747,0.9678,1.5417,1.0048,0.9121,0.6152,-2.5383,0.496,1
1.1397,2.5913,0.7765,-0.0904,-1.1245,0.1924,0.2335,-0.9668,-0.3758,1.2695,1
1.1536,-0.1907,0.7232,-0.823,0.1204,0.0642,-0.7525,1.3009,-0.489,-1.0485,0
-0.3679,0.4702,1.1931,-1.4451,-0.4082,-1.1324,0.2148,0.9614,-0.5999,0.6419,0
-1.7521,0.9426,0.6752,0.5006,-0.3961,1.1407,-0.7934,-0.0142,1.8591,-1.3033,0
0.2238,0.3211,-1.0719,0.3995,0.1277,-0.0457,-1.2016,-1.1639,0.6949,0.1678,0
0.1974,2.1652,0.7575,0.251,-0.3813,0.019,0.1155,0.8957,-0.2492,-0.4625,0
-1.1819,-0.3119,1.865,0.9133,0.0414,0.3955,-1.4105,-1.1909,1.2231,-0.5996,0
