n,split,model,mean,std
500,random,multimodal,0.7489,0.0749
500,random,text,0.7222,0.0641
500,speaker,multimodal,0.7103,0.0669
500,speaker,text,0.69,0.0359
1000,random,multimodal,0.7811,0.0367
1000,random,text,0.7589,0.0135
1000,speaker,multimodal,0.767,0.0253
1000,speaker,text,0.7597,0.0134
2000,random,multimodal,0.8233,0.0093
2000,random,text,0.7956,0.0067
2000,speaker,multimodal,0.7868,0.0202
2000,speaker,text,0.7662,0.012
5000,random,multimodal,0.8233,0.0037
5000,random,text,0.8044,0.0031
5000,speaker,multimodal,0.8041,0.0095
5000,speaker,text,0.7907,0.0083
10000,random,multimodal,0.83,0.0038
10000,random,text,0.8087,0.0017
10000,speaker,multimodal,0.8132,0.0019
10000,speaker,text,0.7976,0.0036
19374,random,multimodal,0.8315,0.0034
19374,random,text,0.8108,0.0083
19374,speaker,multimodal,0.8189,0.0033
19374,speaker,text,0.8054,0.0061
