protocol,data,split,model,n_train,n_test,accuracy,f1_weighted
a_original,all_19374,random,text,13561,5813,0.8027,0.8039
a_original,sub_2000,random,multimodal,1400,600,0.8217,0.8217
a_original,sub_2000,random,speaker_prior,1400,600,0.4933,0.4838
b_same_subset,sub_2000,random,text,1400,600,0.7917,0.7931
b_same_subset,sub_2000,random,audio,1400,600,0.575,0.5598
b_same_subset,sub_2000,random,multimodal,1400,600,0.8217,0.8217
c_speaker_split,all_19374,speaker,text,13122,6252,0.8079,0.8089
c_speaker_split,all_19374,speaker,audio,13122,6252,0.5126,0.5037
c_speaker_split,all_19374,speaker,multimodal,13122,6252,0.818,0.8175
c_speaker_split,all_19374,speaker,speaker_prior,13122,6252,0.2281,0.0847
c_speaker_split,sub_2000,speaker,text,1356,644,0.7593,0.7597
c_speaker_split,sub_2000,speaker,audio,1356,644,0.472,0.4587
c_speaker_split,sub_2000,speaker,multimodal,1356,644,0.7748,0.7736
c_speaker_split,sub_2000,speaker,speaker_prior,1356,644,0.2298,0.0859
c_random_all,all_19374,random,multimodal,13561,5813,0.8302,0.8301
c_random_all,all_19374,random,speaker_prior,13561,5813,0.4999,0.4987
oracle,all_19374_random,random,oracle,0,5813,0.9408,0.9419
oracle,sub_2000_random,random,oracle,0,600,0.9567,0.957
oracle,all_19374_speaker,speaker,oracle,0,6252,0.9384,0.9403
