feature,eta2_speaker,eta2_label,eta2_task
f0_mean,0.7646,0.0014,0.0047
f0_sd,0.3396,0.0422,0.0375
f0_range,0.314,0.0361,0.0519
loudness_mean,0.5305,0.0195,0.0133
loudness_sd,0.3096,0.0193,0.0156
jitter,0.3489,0.0056,0.0015
shimmer,0.3584,0.0088,0.002
hnr,0.4841,0.009,0.0099
speech_rate,0.2993,0.0365,0.1152
pause_ratio,0.2348,0.0533,0.0543
mean_pause,0.2189,0.0258,0.036
voiced_ratio,0.3092,0.0128,0.0223
mfcc1,0.9422,0.002,0.0
mfcc2,0.9388,0.001,0.0
mfcc3,0.9419,0.0005,0.0
mfcc4,0.9349,0.0005,0.0
mfcc5,0.9297,0.0021,0.0
mfcc6,0.9315,0.0,0.0
spectral_flux,0.3561,0.0059,0.0154
duration_sec,0.1319,0.0045,0.1971
