group,phq9,n
control,0,115
control,1,72
control,2,92
control,3,128
control,4,102
control,5,98
control,6,80
control,7,64
control,8,48
control,9,22
control,10,23
control,11,20
control,12,3
control,13,5
patient,0,15
patient,1,6
patient,2,13
patient,3,15
patient,4,28
patient,5,32
patient,6,46
patient,7,49
patient,8,67
patient,9,80
patient,10,71
patient,11,71
patient,12,82
patient,13,83
patient,14,76
patient,15,84
patient,16,50
patient,17,52
patient,18,46
patient,19,40
patient,20,38
patient,21,19
patient,22,24
patient,23,18
patient,24,5
patient,25,6
patient,26,5
patient,27,7
