trained_on,group,label_depressed,quantile,prob,n
group_label,control,0,0.1,0.1651,4105
group_label,control,0,0.25,0.2018,4105
group_label,control,0,0.5,0.2695,4105
group_label,control,0,0.75,0.4048,4105
group_label,control,0,0.9,0.5982,4105
group_label,control,1,0.1,0.212,255
group_label,control,1,0.25,0.3035,255
group_label,control,1,0.5,0.4548,255
group_label,control,1,0.75,0.616,255
group_label,control,1,0.9,0.712,255
group_label,patient,0,0.1,0.201,1755
group_label,patient,0,0.25,0.3148,1755
group_label,patient,0,0.5,0.674,1755
group_label,patient,0,0.75,0.8827,1755
group_label,patient,0,0.9,0.9478,1755
group_label,patient,1,0.1,0.3127,3885
group_label,patient,1,0.25,0.5194,3885
group_label,patient,1,0.5,0.7217,3885
group_label,patient,1,0.75,0.9377,3885
group_label,patient,1,0.9,0.9637,3885
phq_label,control,0,0.1,0.1092,4105
phq_label,control,0,0.25,0.1603,4105
phq_label,control,0,0.5,0.2388,4105
phq_label,control,0,0.75,0.4249,4105
phq_label,control,0,0.9,0.6489,4105
phq_label,control,1,0.1,0.1753,255
phq_label,control,1,0.25,0.2895,255
phq_label,control,1,0.5,0.5389,255
phq_label,control,1,0.75,0.6877,255
phq_label,control,1,0.9,0.7634,255
phq_label,patient,0,0.1,0.1638,1755
phq_label,patient,0,0.25,0.2752,1755
phq_label,patient,0,0.5,0.4697,1755
phq_label,patient,0,0.75,0.6854,1755
phq_label,patient,0,0.9,0.8073,1755
phq_label,patient,1,0.1,0.2994,3885
phq_label,patient,1,0.25,0.5104,3885
phq_label,patient,1,0.5,0.7056,3885
phq_label,patient,1,0.75,0.8106,3885
phq_label,patient,1,0.9,0.8778,3885
