key,value
auc__participant__audio_gbm__participant,0.8718
auc__participant__audio_gbm__recording,0.7455
auc__participant__audio_knn__participant,0.8394
auc__participant__audio_knn__recording,0.6977
auc__participant__fusion__participant,0.9455
auc__participant__fusion__recording,0.8132
auc__participant__text__participant,0.9304
auc__participant__text__recording,0.7289
auc__recording_random__audio_gbm__participant,0.9076
auc__recording_random__audio_gbm__recording,0.7724
auc__recording_random__audio_knn__participant,0.9271
auc__recording_random__audio_knn__recording,0.7716
auc__recording_random__fusion__participant,0.9583
auc__recording_random__fusion__recording,0.8299
auc__recording_random__speaker_prior__participant,1.0
auc__recording_random__speaker_prior__recording,1.0
auc__recording_random__text__participant,0.9314
auc__recording_random__text__recording,0.7259
audio_eta2_label_max,0.0533
audio_eta2_speaker_max,0.9422
control_but_depressed,51.0
dedicated_text_par_auc,0.9296
depressed_share,0.414
emotion_accuracy,0.7885
emotion_transfer_par_auc,0.6263
emotion_transfer_spearman,0.2349
label__group_label__full__par_auc_vs_phq,0.887
label__group_label__full__prob_patient_not_depressed,0.6096
label__group_label__treatment_masked__par_auc_vs_phq,0.8934
label__group_label__treatment_masked__prob_patient_not_depressed,0.5959
label__phq_label__full__par_auc_vs_phq,0.9296
label__phq_label__full__prob_patient_not_depressed,0.479
label__phq_label__treatment_masked__par_auc_vs_phq,0.9302
label__phq_label__treatment_masked__prob_patient_not_depressed,0.4723
n_participants,2000.0
n_recordings,16000.0
patient_but_not_depressed,351.0
patient_share,0.564
subgroup__control__fusion_auc,0.9161
subgroup__patient__fusion_auc,0.8906
subgroup__비직장인__fusion_auc,0.9357
subgroup__직장인__fusion_auc,0.9535
task_agg__all_8_tasks,0.9446
task_agg__fixed_text_3,0.8216
task_agg__memory_2,0.9102
task_agg__narrative_5,0.9485
