seed,split,model,rec_auc,rec_f1,rec_accuracy,rec_balanced_accuracy,par_auc,par_f1,par_accuracy,par_balanced_accuracy
42,recording_random,text,0.7258,0.6038,0.6393,0.6429,0.9307,0.8226,0.846,0.8484
42,recording_random,audio_gbm,0.7736,0.6199,0.7118,0.6906,0.9098,0.7218,0.8065,0.7771
42,recording_random,audio_knn,0.7717,0.613,0.7123,0.6886,0.9269,0.6964,0.7995,0.7637
42,recording_random,fusion,0.83,0.689,0.7576,0.7416,0.9586,0.8343,0.8745,0.8582
42,recording_random,speaker_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,participant,text,0.727,0.5717,0.6643,0.6462,0.9295,0.8183,0.843,0.8446
42,participant,audio_gbm,0.7465,0.5933,0.6919,0.67,0.8714,0.6734,0.774,0.743
42,participant,audio_knn,0.6981,0.5377,0.6617,0.6344,0.8404,0.5957,0.7435,0.7014
42,participant,fusion,0.8133,0.6667,0.7412,0.7242,0.9446,0.8173,0.8625,0.8449
43,recording_random,text,0.7266,0.6035,0.6383,0.6422,0.9324,0.821,0.845,0.847
43,recording_random,audio_gbm,0.7722,0.6223,0.7133,0.6923,0.9068,0.7168,0.8025,0.7733
43,recording_random,audio_knn,0.7707,0.6065,0.7092,0.6846,0.9275,0.6995,0.8015,0.7658
43,recording_random,fusion,0.8302,0.69,0.7574,0.742,0.959,0.8358,0.876,0.8593
43,recording_random,speaker_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,participant,text,0.7302,0.5919,0.6596,0.6503,0.9306,0.8207,0.844,0.8467
43,participant,audio_gbm,0.7452,0.596,0.6942,0.6723,0.8738,0.6769,0.778,0.7462
43,participant,audio_knn,0.6951,0.5339,0.6601,0.6323,0.8363,0.592,0.7395,0.698
43,participant,fusion,0.8137,0.67,0.7446,0.7272,0.9471,0.8073,0.8565,0.8373
44,recording_random,text,0.7253,0.5946,0.6417,0.6407,0.931,0.818,0.842,0.8443
44,recording_random,audio_gbm,0.7715,0.6157,0.7096,0.6879,0.9062,0.7227,0.807,0.7777
44,recording_random,audio_knn,0.7724,0.6067,0.7097,0.6849,0.9268,0.7103,0.8075,0.7727
44,recording_random,fusion,0.8294,0.6846,0.7545,0.7382,0.9572,0.835,0.8755,0.8587
44,recording_random,speaker_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,participant,text,0.7294,0.6038,0.6491,0.6486,0.9311,0.8224,0.8465,0.8483
44,participant,audio_gbm,0.7448,0.5934,0.6931,0.6708,0.8702,0.6826,0.781,0.7499
44,participant,audio_knn,0.7,0.5445,0.6664,0.6393,0.8415,0.5972,0.741,0.7003
44,participant,fusion,0.8126,0.667,0.7427,0.725,0.9447,0.7992,0.8515,0.8313
