dimension,subgroup,model,n,depressed_share,auc,ci_low,ci_high
subgroup_employed,비직장인,fusion,956,0.4268,0.9357,0.9224,0.9479
subgroup_employed,비직장인,text,956,0.4268,0.925,0.9101,0.9395
subgroup_employed,비직장인,audio,956,0.4268,0.8606,0.8389,0.8842
subgroup_employed,직장인,fusion,1044,0.4023,0.9535,0.9419,0.9644
subgroup_employed,직장인,text,1044,0.4023,0.9347,0.9184,0.9482
subgroup_employed,직장인,audio,1044,0.4023,0.8819,0.8599,0.9006
sex,F,fusion,1309,0.4186,0.9476,0.9378,0.9586
sex,F,text,1309,0.4186,0.935,0.9237,0.9473
sex,F,audio,1309,0.4186,0.8726,0.8538,0.8903
sex,M,fusion,691,0.4052,0.939,0.9236,0.9542
sex,M,text,691,0.4052,0.919,0.8993,0.9384
sex,M,audio,691,0.4052,0.8698,0.8419,0.8965
age_band,17-29,fusion,222,0.3919,0.9349,0.9005,0.9621
age_band,17-29,text,222,0.3919,0.9258,0.8909,0.9534
age_band,17-29,audio,222,0.3919,0.8662,0.8169,0.9103
age_band,30-44,fusion,897,0.4214,0.9545,0.9415,0.9655
age_band,30-44,text,897,0.4214,0.9302,0.914,0.9438
age_band,30-44,audio,897,0.4214,0.891,0.8695,0.9115
age_band,45-59,fusion,584,0.4178,0.9423,0.9248,0.9577
age_band,45-59,text,584,0.4178,0.9298,0.9118,0.9477
age_band,45-59,audio,584,0.4178,0.8583,0.829,0.888
age_band,60+,fusion,297,0.4007,0.9296,0.9002,0.9551
age_band,60+,text,297,0.4007,0.9313,0.9009,0.9545
age_band,60+,audio,297,0.4007,0.8432,0.7938,0.8875
group,control,fusion,872,0.0585,0.9161,0.8807,0.9458
group,control,text,872,0.0585,0.909,0.8774,0.9373
group,control,audio,872,0.0585,0.8235,0.765,0.8785
group,patient,fusion,1128,0.6888,0.8906,0.8723,0.9111
group,patient,text,1128,0.6888,0.8412,0.8171,0.8641
group,patient,audio,1128,0.6888,0.8323,0.8079,0.8568
all,all,fusion,2000,0.414,0.9446,0.9357,0.9526
