feature,coef
약/NNG,4.1611
진료/NNG,3.7504
선생/NNG,2.5441
선생/NNG 님/XSN,2.5441
나/VX 어서/EC,2.5092
으면서/EC,2.4431
먹/VV,2.4224
먹/VV 고/EC,2.3373
이런/MM,2.2284
받/VV-R 으면서/EC,2.1192
나/VX,2.1178
상담/NNG,2.1177
님/XSN,2.0699
고/EC 나/VX,2.0667
상담/NNG 받/VV-R,2.0472
말씀/NNG,2.0382
병원/NNG,2.0065
받/VV-R,1.9262
꾸준히/MAG,1.8922
어요/EF 약/NNG,1.8915
약/NNG 을/JKO,1.8794
어서/EC,1.8528
꾸준히/MAG 먹/VV,1.8437
약/NNG 먹/VV,1.8044
어요/EF 진료/NNG,1.7557
솔직히/MAG,-1.3394
때/NNG 요/JX,-1.0197
지나/VV,-1.0057
어요/EF 대학/NNG,-0.9582
진짜/MAG 돗자리/NNG,-0.9466
그러니까/MAJ 혼자/NNG,-0.9454
군대/NNG,-0.9422
일단/MAG 저/NP,-0.9403
그때/NNG 는/JX,-0.9322
어요/EF 저/NP,-0.9283
어/IC 비/NNG,-0.9019
군대/NNG 제대/NNG,-0.8971
제대/NNG 하/XSV,-0.8725
제대/NNG,-0.8725
혼자/NNG 앉/VV,-0.8673
그래도/MAJ,-0.8648
는/JX 힘들/VA,-0.8646
글쎄요/IC 이/MM,-0.8206
었/EP,-0.8141
아이/NNG,-0.8141
저기/IC 가족/NNG,-0.7988
아무튼/MAG 저/MM,-0.7973
을/JKO 하/VV,-0.7842
이요/JX 창문/NNG,-0.783
부터/JX 잠/NNG,-0.7694
