serial,install_date,p_active,p_mobile,truth_alltime,truth_schedule
D00001,2025-05-05,0.298,0.659,1,0
D00002,2025-03-05,0.296,0.489,1,0
D00003,2025-03-16,0.395,0.298,0,0
D00004,2025-04-04,0.12,0.116,0,0
D00005,2025-04-05,0.124,0.334,1,0
D00006,2025-02-25,0.086,0.139,0,0
D00007,2025-05-06,0.256,0.603,0,0
D00008,2025-03-12,0.14,0.448,0,0
D00009,2025-04-25,0.36,0.338,0,0
D00010,2025-05-05,0.13,0.438,0,0
D00011,2025-03-27,0.311,0.162,0,0
D00012,2025-02-15,0.537,0.499,0,0
D00013,2025-03-08,0.228,0.29,0,0
D00014,2025-03-06,0.191,0.598,0,0
D00015,2025-03-10,0.504,0.372,1,0
D00016,2025-03-04,0.122,0.427,0,0
D00017,2025-03-28,0.451,0.751,0,0
D00018,2025-05-02,0.484,0.043,0,0
D00019,2025-02-27,0.11,0.101,1,0
D00020,2025-04-03,0.796,0.168,1,0
D00021,2025-03-29,0.429,0.084,0,0
D00022,2025-04-10,0.362,0.243,1,0
D00023,2025-04-27,0.033,0.049,0,0
D00024,2025-02-19,0.245,0.158,0,0
D00025,2025-03-04,0.403,0.608,0,0
D00026,2025-03-17,0.318,0.163,0,0
D00027,2025-04-07,0.402,0.521,0,0
D00028,2025-02-28,0.101,0.763,0,0
D00029,2025-03-25,0.568,0.372,0,0
D00030,2025-04-04,0.183,0.094,0,0
D00031,2025-04-03,0.222,0.508,0,0
D00032,2025-04-23,0.807,0.152,0,0
D00033,2025-05-05,0.365,0.288,0,0
D00034,2025-03-25,0.378,0.754,0,0
D00035,2025-02-23,0.123,0.126,1,0
D00036,2025-05-08,0.337,0.408,0,0
D00037,2025-02-25,0.294,0.317,0,0
D00038,2025-02-28,0.569,0.363,1,0
D00039,2025-04-19,0.489,0.217,1,0
D00040,2025-03-18,0.26,0.631,0,0
D00041,2025-04-29,0.362,0.425,0,0
D00042,2025-03-06,0.475,0.525,0,0
D00043,2025-03-11,0.326,0.085,1,0
D00044,2025-04-12,0.086,0.017,1,0
D00045,2025-05-07,0.168,0.552,0,0
