dt,weekday,active_n,off_n,off_ratio,fixed_n,mode_hour,mode_share,is_ota
2025-06-02,0,828,567,0.315,536,9,0.2,0
2025-06-03,1,872,597,0.315,544,9,0.173,0
2025-06-04,2,857,561,0.345,550,9,0.167,0
2025-06-05,3,861,593,0.311,534,9,0.202,0
2025-06-06,4,865,596,0.311,563,9,0.172,0
2025-06-07,5,879,615,0.3,562,9,0.171,0
2025-06-08,6,907,601,0.337,590,9,0.166,0
2025-06-09,0,861,587,0.318,559,9,0.179,0
2025-06-10,1,864,561,0.351,558,9,0.17,0
2025-06-11,2,854,581,0.32,551,9,0.185,0
2025-06-12,3,867,571,0.341,562,9,0.16,0
2025-06-13,4,858,587,0.316,545,9,0.171,0
2025-06-14,5,904,602,0.334,601,9,0.178,0
2025-06-15,6,923,613,0.336,618,9,0.178,0
2025-06-16,0,870,584,0.329,550,9,0.171,0
2025-06-17,1,855,605,0.292,554,9,0.179,0
2025-06-18,2,839,578,0.311,522,9,0.201,0
2025-06-19,3,854,592,0.307,531,9,0.173,0
2025-06-20,4,868,603,0.305,563,9,0.192,0
2025-06-21,5,910,602,0.338,601,9,0.176,0
2025-06-22,6,905,602,0.335,587,9,0.172,0
2025-06-23,0,869,581,0.331,563,9,0.199,0
2025-06-24,1,995,723,0.273,972,14,0.516,1
2025-06-25,2,855,586,0.315,538,9,0.178,0
2025-06-26,3,851,597,0.298,556,9,0.176,0
2025-06-27,4,859,581,0.324,558,9,0.172,0
2025-06-28,5,928,658,0.291,604,9,0.172,0
2025-06-29,6,902,627,0.305,594,9,0.175,0
2025-06-30,0,851,583,0.315,546,9,0.167,0
2025-07-01,1,873,579,0.337,564,9,0.188,0
2025-07-02,2,867,574,0.338,567,9,0.171,0
2025-07-03,3,871,608,0.302,548,9,0.15,0
2025-07-04,4,850,578,0.32,540,9,0.163,0
2025-07-05,5,899,599,0.334,611,9,0.175,0
2025-07-06,6,911,632,0.306,587,9,0.193,0
2025-07-07,0,886,606,0.316,574,9,0.174,0
2025-07-08,1,943,648,0.313,621,9,0.169,0
2025-07-09,2,961,667,0.306,634,9,0.177,0
2025-07-10,3,970,668,0.311,638,9,0.169,0
2025-07-11,4,923,627,0.321,580,9,0.19,0
2025-07-12,5,957,648,0.323,641,9,0.17,0
2025-07-13,6,962,679,0.294,643,9,0.162,0
2025-07-14,0,967,670,0.307,638,9,0.171,0
2025-07-15,1,919,605,0.342,575,9,0.174,0
2025-07-16,2,909,610,0.329,548,9,0.208,0
2025-07-17,3,1141,835,0.268,1116,14,0.504,1
2025-07-18,4,930,621,0.332,597,9,0.183,0
2025-07-19,5,976,686,0.297,642,9,0.176,0
2025-07-20,6,986,683,0.307,658,9,0.175,0
2025-07-21,0,944,640,0.322,590,9,0.19,0
2025-07-22,1,936,628,0.329,599,9,0.187,0
2025-07-23,2,921,641,0.304,599,9,0.202,0
2025-07-24,3,934,628,0.328,586,9,0.191,0
2025-07-25,4,912,620,0.32,577,9,0.179,0
2025-07-26,5,970,647,0.333,630,9,0.186,0
2025-07-27,6,986,654,0.337,670,9,0.169,0
2025-07-28,0,927,633,0.317,581,9,0.182,0
2025-07-29,1,928,654,0.295,592,9,0.182,0
2025-07-30,2,933,611,0.345,615,9,0.205,0
2025-07-31,3,936,627,0.33,604,9,0.185,0
2025-08-01,4,940,662,0.296,592,9,0.166,0
2025-08-02,5,998,669,0.33,646,9,0.172,0
2025-08-03,6,1013,701,0.308,689,9,0.16,0
2025-08-04,0,932,647,0.306,580,9,0.197,0
2025-08-05,1,935,595,0.364,608,9,0.174,0
2025-08-06,2,1117,815,0.27,1076,14,0.493,1
2025-08-07,3,923,640,0.307,599,9,0.202,0
2025-08-08,4,906,649,0.284,575,9,0.198,0
2025-08-09,5,957,632,0.34,633,9,0.169,0
2025-08-10,6,999,690,0.309,641,9,0.172,0
2025-08-11,0,947,653,0.31,607,9,0.173,0
2025-08-12,1,920,638,0.307,605,9,0.183,0
2025-08-13,2,903,618,0.316,572,9,0.182,0
2025-08-14,3,940,614,0.347,605,9,0.174,0
2025-08-15,4,941,633,0.327,600,9,0.192,0
2025-08-16,5,995,690,0.307,688,9,0.173,0
2025-08-17,6,954,634,0.335,611,9,0.198,0
2025-08-18,0,915,624,0.318,593,9,0.196,0
2025-08-19,1,1017,690,0.322,684,9,0.174,0
2025-08-20,2,1025,696,0.321,643,9,0.198,0
2025-08-21,3,1038,713,0.313,667,9,0.166,0
2025-08-22,4,992,686,0.308,607,9,0.194,0
2025-08-23,5,1059,725,0.315,707,9,0.165,0
2025-08-24,6,1090,749,0.313,747,9,0.169,0
2025-08-25,0,1012,690,0.318,643,9,0.184,0
2025-08-26,1,1002,702,0.299,634,9,0.188,0
2025-08-27,2,1029,690,0.329,667,9,0.172,0
2025-08-28,3,1178,840,0.287,1143,14,0.502,1
2025-08-29,4,1009,689,0.317,652,9,0.167,0
2025-08-30,5,1086,756,0.304,739,9,0.153,0
2025-08-31,6,1076,731,0.321,694,9,0.163,0
2025-09-01,0,993,675,0.32,634,9,0.183,0
2025-09-02,1,1000,677,0.323,645,9,0.186,0
2025-09-03,2,996,659,0.338,622,9,0.195,0
2025-09-04,3,1015,688,0.322,667,9,0.186,0
2025-09-05,4,992,661,0.334,631,9,0.193,0
2025-09-06,5,1087,731,0.328,722,9,0.176,0
2025-09-07,6,1078,719,0.333,701,9,0.163,0
2025-09-08,0,984,667,0.322,616,9,0.182,0
2025-09-09,1,991,663,0.331,649,9,0.179,0
2025-09-10,2,1007,704,0.301,645,9,0.186,0
2025-09-11,3,1010,683,0.324,631,9,0.181,0
2025-09-12,4,1023,678,0.337,663,9,0.198,0
2025-09-13,5,1096,736,0.328,736,9,0.171,0
2025-09-14,6,1067,710,0.335,699,9,0.18,0
