dt,weekday,active_n,off_n,off_ratio,fixed_n,mode_hour,mode_share,is_ota
2025-06-02,0,627,366,0.416,536,9,0.2,0
2025-06-03,1,635,361,0.431,544,9,0.173,0
2025-06-04,2,659,364,0.448,550,9,0.167,0
2025-06-05,3,624,357,0.428,534,9,0.202,0
2025-06-06,4,649,380,0.414,563,9,0.172,0
2025-06-07,5,649,388,0.402,562,9,0.171,0
2025-06-08,6,692,387,0.441,590,9,0.166,0
2025-06-09,0,662,391,0.409,559,9,0.179,0
2025-06-10,1,665,362,0.456,558,9,0.17,0
2025-06-11,2,647,374,0.422,551,9,0.185,0
2025-06-12,3,649,354,0.455,562,9,0.16,0
2025-06-13,4,622,351,0.436,545,9,0.171,0
2025-06-14,5,691,389,0.437,601,9,0.178,0
2025-06-15,6,723,416,0.425,618,9,0.178,0
2025-06-16,0,659,373,0.434,550,9,0.171,0
2025-06-17,1,644,396,0.385,554,9,0.179,0
2025-06-18,2,608,349,0.426,522,9,0.201,0
2025-06-19,3,619,360,0.418,531,9,0.173,0
2025-06-20,4,640,378,0.409,563,9,0.192,0
2025-06-21,5,692,385,0.444,601,9,0.176,0
2025-06-22,6,686,383,0.442,587,9,0.172,0
2025-06-23,0,652,365,0.44,563,9,0.199,0
2025-06-24,1,977,706,0.277,972,14,0.516,1
2025-06-25,2,631,362,0.426,538,9,0.178,0
2025-06-26,3,649,396,0.39,556,9,0.176,0
2025-06-27,4,650,375,0.423,558,9,0.172,0
2025-06-28,5,683,415,0.392,604,9,0.172,0
2025-06-29,6,677,402,0.406,594,9,0.175,0
2025-06-30,0,635,368,0.42,546,9,0.167,0
2025-07-01,1,664,371,0.441,564,9,0.188,0
2025-07-02,2,668,377,0.436,567,9,0.171,0
2025-07-03,3,639,376,0.412,548,9,0.15,0
2025-07-04,4,621,350,0.436,540,9,0.163,0
2025-07-05,5,701,403,0.425,611,9,0.175,0
2025-07-06,6,685,408,0.404,587,9,0.193,0
2025-07-07,0,658,379,0.424,574,9,0.174,0
2025-07-08,1,717,422,0.411,621,9,0.169,0
2025-07-09,2,725,434,0.401,634,9,0.177,0
2025-07-10,3,734,435,0.407,638,9,0.169,0
2025-07-11,4,665,370,0.444,580,9,0.19,0
2025-07-12,5,740,432,0.416,641,9,0.17,0
2025-07-13,6,732,451,0.384,643,9,0.162,0
2025-07-14,0,728,432,0.407,638,9,0.171,0
2025-07-15,1,694,381,0.451,575,9,0.174,0
2025-07-16,2,656,358,0.454,548,9,0.208,0
2025-07-17,3,1122,818,0.271,1116,14,0.504,1
2025-07-18,4,698,392,0.438,597,9,0.183,0
2025-07-19,5,738,448,0.393,642,9,0.176,0
2025-07-20,6,747,444,0.406,658,9,0.175,0
2025-07-21,0,686,386,0.437,590,9,0.19,0
2025-07-22,1,711,403,0.433,599,9,0.187,0
2025-07-23,2,686,406,0.408,599,9,0.202,0
2025-07-24,3,696,394,0.434,586,9,0.191,0
2025-07-25,4,685,396,0.422,577,9,0.179,0
2025-07-26,5,735,413,0.438,630,9,0.186,0
2025-07-27,6,775,445,0.426,670,9,0.169,0
2025-07-28,0,679,386,0.432,581,9,0.182,0
2025-07-29,1,680,406,0.403,592,9,0.182,0
2025-07-30,2,715,393,0.45,615,9,0.205,0
2025-07-31,3,689,384,0.443,604,9,0.185,0
2025-08-01,4,688,413,0.4,592,9,0.166,0
2025-08-02,5,743,417,0.439,646,9,0.172,0
2025-08-03,6,779,468,0.399,689,9,0.16,0
2025-08-04,0,687,402,0.415,580,9,0.197,0
2025-08-05,1,713,373,0.477,608,9,0.174,0
2025-08-06,2,1084,782,0.279,1076,14,0.493,1
2025-08-07,3,693,413,0.404,599,9,0.202,0
2025-08-08,4,656,400,0.39,575,9,0.198,0
2025-08-09,5,740,418,0.435,633,9,0.169,0
2025-08-10,6,734,427,0.418,641,9,0.172,0
2025-08-11,0,698,405,0.42,607,9,0.173,0
2025-08-12,1,687,405,0.41,605,9,0.183,0
2025-08-13,2,661,380,0.425,572,9,0.182,0
2025-08-14,3,703,378,0.462,605,9,0.174,0
2025-08-15,4,697,392,0.438,600,9,0.192,0
2025-08-16,5,763,462,0.394,688,9,0.173,0
2025-08-17,6,725,407,0.439,611,9,0.198,0
2025-08-18,0,695,405,0.417,593,9,0.196,0
2025-08-19,1,778,455,0.415,684,9,0.174,0
2025-08-20,2,760,433,0.43,643,9,0.198,0
2025-08-21,3,782,458,0.414,667,9,0.166,0
2025-08-22,4,719,415,0.423,607,9,0.194,0
2025-08-23,5,827,494,0.403,707,9,0.165,0
2025-08-24,6,843,503,0.403,747,9,0.169,0
2025-08-25,0,742,420,0.434,643,9,0.184,0
2025-08-26,1,739,439,0.406,634,9,0.188,0
2025-08-27,2,764,426,0.442,667,9,0.172,0
2025-08-28,3,1152,814,0.293,1143,14,0.502,1
2025-08-29,4,760,443,0.417,652,9,0.167,0
