ota_dt,truth_source,n,share,median_duration_min,share_under_2h
2025-06-24,ota_lmk,233,0.369,44.3,0.794
2025-06-24,ota_resume,394,0.623,2039.6,0.089
2025-06-24,user,5,0.008,177.8,0.2
2025-07-17,ota_lmk,291,0.408,48.5,0.784
2025-07-17,ota_resume,417,0.584,1727.5,0.096
2025-07-17,user,6,0.008,1886.0,0.333
2025-08-06,ota_lmk,256,0.373,45.6,0.801
2025-08-06,ota_resume,422,0.615,1767.5,0.085
2025-08-06,user,8,0.012,358.4,0.125
2025-08-28,ota_lmk,255,0.353,46.2,0.808
2025-08-28,ota_resume,459,0.635,2026.2,0.065
2025-08-28,user,9,0.012,118.9,0.556
