metric,value
n_days,105.0
n_ota_days,4.0
baseline_off_n_median_startdate,405.0
baseline_off_n_median_midnight,634.0
baseline_off_ratio_median,0.425
ota_off_n_multiple_min,1.74
ota_off_n_multiple_max,2.02
ota_off_ratio_min,0.271
ota_mode_share_min,0.493
ota_mode_share_max,0.516
normal_mode_share_median,0.176
normal_mode_share_max,0.208
ota_mode_hour_all_equal_to_ota_hour,1.0
path1_resume_share_median,0.619
path2_lmk_share_median,0.371
path2_lmk_median_duration_min,45.900000000000006
path1_resume_median_duration_min,1896.85
