k,cluster,size,top_label,purity
2,0,336,morning,0.685
2,1,464,allday_low,0.517
3,0,254,allday_low,0.941
3,1,313,night,0.527
3,2,233,morning,0.987
4,0,125,intermittent,0.976
4,1,253,allday_low,0.941
4,2,230,morning,1.0
4,3,192,night,0.854
5,0,124,intermittent,0.984
5,1,239,allday_low,1.0
5,2,192,night,0.854
5,3,15,noise,1.0
5,4,230,morning,1.0
6,0,239,allday_low,1.0
6,1,109,morning,1.0
6,2,192,night,0.854
6,3,15,noise,1.0
6,4,121,morning,1.0
6,5,124,intermittent,0.984
7,0,116,intermittent,0.991
7,1,239,allday_low,1.0
7,2,121,morning,1.0
7,3,15,noise,1.0
7,4,107,night,0.682
7,5,109,morning,1.0
7,6,93,night,0.989
8,0,79,night,0.987
8,1,136,allday_low,1.0
8,2,106,morning,1.0
8,3,15,noise,1.0
8,4,120,night,0.725
8,5,116,intermittent,1.0
8,6,124,morning,1.0
8,7,104,allday_low,1.0
9,0,136,allday_low,1.0
9,1,106,morning,1.0
9,2,108,night,0.685
9,3,15,noise,1.0
9,4,36,intermittent,1.0
9,5,104,allday_low,1.0
9,6,92,night,0.989
9,7,79,intermittent,1.0
9,8,124,morning,1.0
10,0,30,intermittent,1.0
10,1,104,allday_low,1.0
10,2,121,morning,1.0
10,3,73,night,1.0
10,4,79,night,0.519
10,5,136,allday_low,1.0
10,6,15,noise,1.0
10,7,109,morning,1.0
10,8,81,intermittent,1.0
10,9,52,night,0.981
