phrase,n,share,category,rank
죄송하지만 이해하기 어려워요. 다음에 다시 말씀해주시겠어요?,4460,0.40299990964127586,인식/이해 실패,1
잘 못 알아들었어요. 다시 한번 말씀해 주세요.,1966,0.1776452516490467,인식/이해 실패,2
무슨 말씀인지 잘 모르겠어요.,154,0.013915243516761544,인식/이해 실패,3
다시 한번 말씀해 주시겠어요?,110,0.009939459654829674,인식/이해 실패,4
조금 더 크게 말씀해 주세요.,108,0.009758742206560044,인식/이해 실패,5
제가 도와드릴 수 없는 요청이에요.,103,0.009306948585885967,인식/이해 실패,6
"죄송해요, 제가 이해하지 못했어요.",100,0.009035872413481522,인식/이해 실패,7
요청하신 지역을 찾을 수 없어요.,95,0.008584078792807445,정보 부재,8
"죄송해요, 다시 말해 주세요.",84,0.007590132827324478,인식/이해 실패,9
"음, 무슨 뜻인지 모르겠어요.",83,0.007499774103189663,인식/이해 실패,10
잘 들리지 않았어요.,75,0.006776904310111141,인식/이해 실패,11
제가 아직 배우는 중이라 잘 모르겠어요.,73,0.006596186861841511,인식/이해 실패,12
이해하지 못했어요. 다른 방식으로 말씀해 주세요.,69,0.00623475196530225,인식/이해 실패,13
천천히 다시 말씀해 주세요.,68,0.006144393241167435,인식/이해 실패,14
말씀을 놓쳤어요. 한 번만 더 말해 주실래요?,66,0.005963675792897805,인식/이해 실패,15
"죄송해요, 그 부분은 잘 모르겠어요 (33)",47,0.004246860034336315,인식/이해 실패,16
"죄송해요, 그 부분은 잘 모르겠어요 (84)",45,0.004066142586066685,인식/이해 실패,17
"죄송해요, 그 부분은 잘 모르겠어요 (12)",43,0.0038854251377970542,인식/이해 실패,18
"죄송해요, 그 부분은 잘 모르겠어요 (59)",42,0.003795066413662239,인식/이해 실패,19
"죄송해요, 그 부분은 잘 모르겠어요 (18)",42,0.003795066413662239,인식/이해 실패,20
"죄송해요, 그 부분은 잘 모르겠어요 (15)",42,0.003795066413662239,인식/이해 실패,21
"죄송해요, 그 부분은 잘 모르겠어요 (17)",41,0.0037047076895274237,인식/이해 실패,22
"죄송해요, 그 부분은 잘 모르겠어요 (20)",40,0.0036143489653926086,인식/이해 실패,23
"죄송해요, 그 부분은 잘 모르겠어요 (77)",39,0.0035239902412577935,인식/이해 실패,24
"죄송해요, 그 부분은 잘 모르겠어요 (79)",39,0.0035239902412577935,인식/이해 실패,25
