window_sec,sim,retry_fallback,retry_none,retry_normal,fallback_lowest
10,0.3,0.002891479172314087,0.040342298288508556,0.0081887888036924,True
10,0.5,0.002891479172314087,0.040342298288508556,0.008039901734534356,True
10,0.8,0.0027107617240444567,0.040342298288508556,0.007853792898086801,True
30,0.3,0.0056925996204933585,0.0730440097799511,0.014628154544777786,True
30,0.5,0.0056925996204933585,0.0730440097799511,0.014255936871882677,True
30,0.8,0.005331164723954097,0.07273838630806846,0.013772053897119035,True
60,0.3,0.006325110689437065,0.07365525672371638,0.01481426338122534,True
60,0.5,0.006325110689437065,0.07365525672371638,0.014442045708330232,True
60,0.8,0.0056925996204933585,0.0730440097799511,0.013920940966277079,True
120,0.3,0.006325110689437065,0.07365525672371638,0.01481426338122534,True
120,0.5,0.006325110689437065,0.07365525672371638,0.014442045708330232,True
120,0.8,0.0056925996204933585,0.0730440097799511,0.013920940966277079,True
