ngram,n_turns,share_of_unmatched
아니,4374,0.1079760053321484
엄마,1781,0.043965538522303685
아니야,1730,0.042706559036263546
이거,1685,0.04159569478387519
노래,1408,0.034757708163617965
말고,1356,0.03347404280530253
얘기,1322,0.032634723147942434
따라와,1310,0.03233849268063887
심심해,1250,0.03085734034412106
고마워,1249,0.03083265447184576
안녕,1248,0.030807968599570464
사랑해,994,0.024537757041645066
왔어,991,0.024463699424819175
그거,826,0.020390530499395196
재밌,822,0.020291787010294007
재밌 얘기,822,0.020291787010294007
춤춰,822,0.020291787010294007
잘했어,803,0.01982275543706337
놀까,796,0.01964995433113629
하고,796,0.01964995433113629
하고 놀까,796,0.01964995433113629
배고파,791,0.019526524969759807
칭찬해줘,786,0.01940309560838332
힘들다,783,0.01932903799155743
같이,781,0.01927966624700684
같이 놀자,781,0.01927966624700684
놀자,781,0.01927966624700684
그거 말고,779,0.019230294502456245
아니 그거,779,0.019230294502456245
수고했어,776,0.019156236885630354
