item,over_by,value,score_current,score_v2
temperature,0.0,37.5,100.0,100.0
temperature,0.01,37.51,48.75,99.88
temperature,0.1,37.6,37.75,98.73
temperature,0.5,38.0,7.59,90.09
temperature,1.0,38.5,0.67,67.78
temperature,2.5,40.0,0.0,4.98
pulse,0.0,100.0,100.0,100.0
pulse,1.0,101.0,1.8,99.33
pulse,2.0,102.0,0.03,98.57
pulse,5.0,105.0,0.0,95.7
pulse,15.0,115.0,0.0,76.75
pulse,45.0,145.0,0.0,4.98
stress,0.0,60.0,100.0,100.0
stress,1.0,61.0,4.74,99.24
stress,2.0,62.0,0.25,98.37
stress,5.0,65.0,0.0,94.97
stress,20.0,80.0,0.0,52.49
stress,40.0,100.0,0.0,4.98
bp_sys,0.0,140.0,100.0,100.0
bp_sys,1.0,141.0,1.8,98.96
bp_sys,2.0,142.0,0.03,97.72
bp_sys,5.0,145.0,0.0,92.46
bp_sys,15.0,155.0,0.0,52.49
bp_sys,30.0,170.0,0.0,4.98
